ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
Mybph	1	0	0	0	0	0
Myeov2	1	0	0	0	0	0
Myh10	1	0	0	0	0	0
Myh2	1	0	0	0	0	0
Myh3	1	0	0	0	0	0
Myl1	1	0	0	0	0	0
Myl2	1	0	0	0	0	0
Mylip	1	0	0	0	0	0
Myod1	1	0	0	0	0	0
Myof	1	0	0	0	0	0
Myog	1	0	0	0	0	0
Myzap	1	0	0	0	0	0
Nagpa	1	0	0	0	0	0
Ncam1	1	0	0	0	0	0
Ncor2	1	0	0	0	0	0
Ndrg1	1	0	0	0	0	0
Ndufa13	1	0	0	0	0	0
Neb	1	0	0	0	0	0
Nedd1	1	0	0	0	0	0
Nedd4l	1	0	0	0	0	0
Nek6	1	0	0	0	0	0
Nelfcd	1	0	0	0	0	0
Net1	1	0	0	0	0	0
Nfib	1	0	0	0	0	0
Nipbl	1	0	0	0	0	0
Nkd2	1	0	0	0	0	0
Nmrk2	1	0	0	0	0	0
Noc4l	1	0	0	0	0	0
Notch1	1	0	0	0	0	0
Nov	1	0	0	0	0	0
Nr2f2	1	0	0	0	0	0
Nt5e	1	0	0	0	0	0
Nuak1	1	0	0	0	0	0
Nub1	1	0	0	0	0	0
Nufip1	1	0	0	0	0	0
Nxt1	1	0	0	0	0	0
Obscn	1	0	0	0	0	0
Opa1	1	0	0	0	0	0
Palld	1	0	0	0	0	0
Parp1	1	0	0	0	0	0
Parp9	1	0	0	0	0	0
Pbk	1	0	0	0	0	0
Pccb	1	0	0	0	0	0
Pcdh18	1	0	0	0	0	0
Pced1b	1	0	0	0	0	0
Pcgf5	1	0	0	0	0	0
Pdp1	1	0	0	0	0	0
Pdzrn3	1	0	0	0	0	0
Peli2	1	0	0	0	0	0
Pgrmc2	1	0	0	0	0	0
Picalm	1	0	0	0	0	0
Pick1	1	0	0	0	0	0
Pigm	1	0	0	0	0	0
Pigp	1	0	0	0	0	0
Pim1	1	0	0	0	0	0
Pkhd1	1	0	0	0	0	0
Pkn2	1	0	0	0	0	0
Pkp1	1	0	0	0	0	0
Pla2g15	1	0	0	0	0	0
Pld1	1	0	0	0	0	0
Plek2	1	0	0	0	0	0
Plekha2	1	0	0	0	0	0
Plekhg5	1	0	0	0	0	0
Plekhh1	1	0	0	0	0	0
Plod2	1	0	0	0	0	0
Pmaip1	1	0	0	0	0	0
Pmepa1	1	0	0	0	0	0
Pomgnt2	1	0	0	0	0	0
Postn	1	0	0	0	0	0
Ppap2b	1	0	0	0	0	0
Ppapdc3	1	0	0	0	0	0
Ppcs	1	0	0	0	0	0
Ppia	1	0	0	0	0	0
Ppm1b	1	0	0	0	0	0
Ppp1r8	1	0	0	0	0	0
Ppp6c	1	0	0	0	0	0
Preb	1	0	0	0	0	0
Prickle1	1	0	0	0	0	0
Prkab1	1	0	0	0	0	0
